,trial_id,country_name,recruitment_status,country_iso3
2185,669,France,Ended,FRA
2186,670,Netherlands,"Ongoing, recruiting",NLD
2187,671,Netherlands,"Ongoing, recruiting",NLD
2188,672,Denmark,"Ongoing, recruiting",DNK
2189,673,Sweden,"Ongoing, recruiting",SWE
2190,674,Netherlands,"Ongoing, recruiting",NLD
2191,675,France,"Ongoing, recruiting",FRA
2192,676,Spain,Not authorised,ESP
2193,676,Denmark,Not authorised,DNK
2194,677,Norway,"Ongoing, recruiting",NOR
2195,678,Estonia,"Authorised, recruitment pending",EST
2196,679,France,"Authorised, recruitment pending",FRA
2197,680,Spain,Ended,ESP
2198,681,Sweden,"Ongoing, recruiting",SWE
2199,682,Spain,Ended,ESP
2200,682,Romania,Ended,ROU
2201,682,Italy,Ended,ITA
2202,682,Poland,Ended,POL
2203,682,France,Ended,FRA
2204,683,France,Ended,FRA
2205,684,France,"Ongoing, recruiting",FRA
2206,685,Romania,Ended,ROU
2207,686,Netherlands,Ended,NLD
2208,687,France,"Authorised, recruitment pending",FRA
2209,688,Netherlands,"Authorised, recruitment pending",NLD
2210,689,Italy,"Ongoing, recruiting",ITA
2211,690,Spain,Ended,ESP
2212,690,Italy,Ended,ITA
2213,690,France,Ended,FRA
2214,690,Czechia,Ended,CZE
2215,691,France,"Authorised, recruitment pending",FRA
2216,691,Germany,"Authorised, recruitment pending",DEU
2217,691,Poland,"Authorised, recruitment pending",POL
2218,691,Sweden,"Authorised, recruitment pending",SWE
2219,691,Spain,"Authorised, recruitment pending",ESP
2220,691,Italy,"Authorised, recruitment pending",ITA
2221,692,Spain,Ended,ESP
2222,692,France,Ended,FRA
2223,693,Denmark,Ended,DNK
2224,694,Poland,"Ongoing, recruiting",POL
2225,695,Italy,Ended,ITA
2226,695,Germany,"Ongoing, recruitment ended",DEU
2227,695,Hungary,Ended,HUN
2228,695,France,"Ongoing, recruitment ended",FRA
2229,696,Netherlands,"Ongoing, recruitment ended",NLD
2230,697,Austria,"Ongoing, recruitment ended",AUT
2231,697,Slovakia,"Ongoing, recruitment ended",SVK
2232,697,Czechia,"Ongoing, recruitment ended",CZE
2233,697,Italy,"Ongoing, recruitment ended",ITA
2234,697,Germany,"Ongoing, recruitment ended",DEU
2235,698,Netherlands,"Ongoing, recruitment ended",NLD
2236,698,Belgium,"Ongoing, recruitment ended",BEL
2237,698,Denmark,"Ongoing, recruitment ended",DNK
2238,698,Norway,"Ongoing, recruitment ended",NOR
2239,699,Belgium,"Authorised, recruitment pending",BEL
2240,700,Italy,"Ongoing, recruitment ended",ITA
2241,701,Spain,Ended,ESP
2242,701,Italy,Ended,ITA
2243,701,Germany,Ended,DEU
2244,701,Poland,Ended,POL
2245,701,France,Ended,FRA
2246,701,Netherlands,Ended,NLD
2247,702,France,"Ongoing, recruiting",FRA
2248,703,Sweden,"Ongoing, recruitment ended",SWE
2249,703,Denmark,"Ongoing, recruitment ended",DNK
2250,704,France,"Ongoing, recruiting",FRA
2251,704,Belgium,"Ongoing, recruiting",BEL
2252,705,Spain,"Ongoing, recruitment ended",ESP
2253,706,Belgium,"Ongoing, recruitment ended",BEL
2254,707,Netherlands,"Authorised, recruiting",NLD
2255,708,Germany,"Ongoing, recruitment ended",DEU
2256,709,Sweden,Ended,SWE
2257,709,Slovakia,"Ongoing, recruitment ended",SVK
2258,709,Poland,"Ongoing, recruitment ended",POL
2259,709,Denmark,Ended,DNK
2260,710,Netherlands,"Authorised, recruitment pending",NLD
2261,711,Spain,Ended,ESP
2262,711,France,Ended,FRA
2263,711,Belgium,Ended,BEL
2264,711,Germany,Ended,DEU
2265,711,Austria,Ended,AUT
2266,712,Italy,Ended,ITA
2267,712,Spain,Ended,ESP
2268,712,Poland,Ended,POL
2269,712,Belgium,Ended,BEL
2270,713,Netherlands,Temporarily halted,NLD
2271,714,France,Ended,FRA
2272,715,France,"Ongoing, recruitment ended",FRA
2273,716,Netherlands,Ended,NLD
2274,717,Netherlands,"Ongoing, recruitment ended",NLD
2275,717,Norway,"Ongoing, recruitment ended",NOR
2276,717,Sweden,"Ongoing, recruitment ended",SWE
2277,718,Italy,"Ongoing, recruiting",ITA
2278,719,Spain,Ended,ESP
2279,720,Finland,Ended,FIN
2280,720,Germany,Ended,DEU
2281,720,France,Ended,FRA
2282,721,Spain,Ended,ESP
2283,721,France,Ended,FRA
2284,721,Netherlands,Ended,NLD
2285,721,Germany,Ended,DEU
2286,722,Netherlands,Ended,NLD
2287,723,France,Ended,FRA
2288,723,Germany,Ended,DEU
2289,724,Poland,"Ongoing, recruitment ended",POL
2290,724,Italy,"Ongoing, recruitment ended",ITA
2291,725,Netherlands,Ended,NLD
2292,725,Belgium,Ended,BEL
2293,725,France,Ended,FRA
2294,726,Italy,Temporarily halted,ITA
2295,727,Portugal,Ended,PRT
2296,727,Germany,Ended,DEU
2297,727,Poland,Ended,POL
2298,727,France,Ended,FRA
2299,727,Spain,Ended,ESP
2300,727,Ireland,Ended,IRL
2301,727,Sweden,Ended,SWE
2302,727,Italy,Ended,ITA
2303,728,France,"Authorised, recruitment pending",FRA
2304,729,Italy,"Ongoing, recruiting",ITA
2305,730,France,"Ongoing, recruiting",FRA
2306,731,France,"Ongoing, recruiting",FRA
2307,732,Spain,"Ongoing, recruiting",ESP
2308,733,Italy,Ended,ITA
2309,734,Spain,"Ongoing, recruitment ended",ESP
2310,735,Netherlands,"Ongoing, recruiting",NLD
2311,736,France,"Ongoing, recruitment ended",FRA
2312,737,Germany,Temporarily halted,DEU
2313,738,France,"Authorised, recruitment pending",FRA
2314,739,Germany,Ended,DEU
2315,740,France,Ended,FRA
2316,740,Spain,Ended,ESP
2317,740,Italy,Ended,ITA
2318,740,Germany,Ended,DEU
2319,741,Denmark,"Ongoing, recruiting",DNK
2320,742,France,Ended,FRA
2321,743,Italy,"Ongoing, recruitment ended",ITA
2322,744,Poland,"Ongoing, recruiting",POL
2323,745,Sweden,"Ongoing, recruiting",SWE
2324,746,France,"Ongoing, recruitment ended",FRA
2325,746,Ireland,"Ongoing, recruitment ended",IRL
2326,746,Netherlands,"Ongoing, recruitment ended",NLD
2327,746,Italy,"Ongoing, recruitment ended",ITA
2328,746,Denmark,"Ongoing, recruitment ended",DNK
2329,746,Sweden,"Ongoing, recruitment ended",SWE
2330,746,Germany,"Ongoing, recruitment ended",DEU
2331,747,Italy,"Ongoing, recruitment ended",ITA
2332,747,Spain,"Ongoing, recruitment ended",ESP
2333,748,Romania,Ended,ROU
2334,748,Poland,Ended,POL
2335,748,Spain,Ended,ESP
2336,748,Czechia,Ended,CZE
2337,748,France,Ended,FRA
2338,749,France,"Ongoing, recruiting",FRA
2339,750,Spain,Ended,ESP
