,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
106,639429,Rebuilding the human thymus to create a tolerising system for allogeneic tissue and organ transplantation,Oncology,UNIVERSITY COLLEGE LONDON,United Kingdom,HES,CLOSED,1480416.0,2015,2021,Not applicable
107,639526,Polymer-based piezoelectric nanogenerators for energy harvesting,Genomics / Molecular Biology,THE CHANCELLOR MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE,United Kingdom,HES,CLOSED,1635710.0,2015,2020,Not applicable
108,639594,New Catalytic Asymmetric Strategies for N-Heterocycle Synthesis,Pharma / Biotech,UNIVERSITY OF BRISTOL,United Kingdom,HES,CLOSED,1548738.0,2015,2020,Not applicable
109,639707,Adaptive immunity in prokaryotes: how Bacteria do not forgive and do not forget their enemies,Genomics / Molecular Biology,TECHNISCHE UNIVERSITEIT DELFT,Netherlands,HES,CLOSED,1499183.75,2015,2020,Not applicable
110,640275,Molecularly defined models of human childhood brain tumors,Oncology,UPPSALA UNIVERSITET,Sweden,HES,CLOSED,1497059.0,2015,2020,Not applicable
111,640567,Nano-diamond tracers for MRI molecular imaging,Diagnostics / Biomarkers,UNIVERSITAET ULM,Germany,HES,CLOSED,147500.0,2014,2016,Not applicable
112,640579,A new reconstructing technique using tissue engineering methods to create an engineered autologous vascularized tissue flap,Oncology,TECHNION - ISRAEL INSTITUTE OF TECHNOLOGY,Israel,HES,CLOSED,147500.0,2015,2016,Not applicable
113,640580,Clarifying Optimal Sodium Intake Project,Diagnostics / Biomarkers,UNIVERSITY OF GALWAY,Ireland,HES,CLOSED,1499431.0,2015,2020,Not applicable
114,640696,Development of a ncRNA DNA Methylation Kit for the Diagnosis of Cancer of Unknown Primary,Genomics / Molecular Biology,FUNDACIO INSTITUT D'INVESTIGACIO BIOMEDICA DE BELLVITGE,Spain,REC,CLOSED,149278.0,2015,2016,Not applicable
115,640892,Novel enhancers of functional recovery after stroke,Pharma / Biotech,RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG,Germany,HES,CLOSED,147968.5,2015,2016,Not applicable
116,640921,COLOStage : A new prognosis test for the prediction of metastasis in Colorectal Cancer and Hepatocellular Carcinoma,Oncology,FUNDACIO INSTITUT DE RECERCA BIOMEDICA (IRB BARCELONA),Spain,REC,CLOSED,150000.0,2015,2016,Not applicable
117,640926,Precise and non-GMO Engineering of Nutritional Factors for Breeding High Quality Crops,Pharma / Biotech,WEIZMANN INSTITUTE OF SCIENCE,Israel,HES,CLOSED,150000.0,2015,2016,Not applicable
118,640942,SIngle Molecule DEtection and Quantification (SIMDEQ): A new platform for genetic and epigenetic analysis,Genomics / Molecular Biology,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,France,REC,CLOSED,148500.0,2014,2016,Not applicable
119,640955,Antibody-free method for Counting All Circulating TUmour cellS while maintaining them alive and intact,Oncology,UNIVERSITA DEGLI STUDI DI UDINE,Italy,HES,CLOSED,149875.0,2015,2016,Not applicable
120,641093,Developing Novel and Optimal Additive Solutions for Red Blood Cells,Proteomics / Multi-omics,HASKOLI ISLANDS,Iceland,HES,CLOSED,150000.0,2015,2016,Not applicable
121,641152,Treatment of EGFR over-expressing cancers by targeted non-viral delivery of PolyIC,Genomics / Molecular Biology,THE HEBREW UNIVERSITY OF JERUSALEM,Israel,HES,CLOSED,150000.0,2015,2016,Not applicable
122,641191,"Bringing CItizens, Models and Data together in Participatory, Interactive SociaL EXploratories",Digital Health / Bioinformatics,DEUTSCHES FORSCHUNGSZENTRUM FUR KUNSTLICHE INTELLIGENZ GMBH,Germany,REC,CLOSED,4206875.0,2015,2017,Not applicable
123,641222,ExtraLytics: Big Data Analytics for Real Estate,Digital Health / Bioinformatics,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",United Kingdom,HES,CLOSED,148377.0,2014,2016,Not applicable
